"Sample.Name","Biol.Rep","Year","Month","Day","TP.ug.L","TDP.ug.L","SRP.ug.L","TN.ug.L","TDN.ug.L","NO3.plus.NO2.ug.L","NO2.only.ug.L","NH4.ug.L","Notes"
"ME09Feb2013s1D0","A",2013,2,9,224,138,37,2174,1256,224,NA,99,NA
"ME09Feb2013s1D3","A",2013,2,9,69,71,24,1029,1003,229,NA,411,NA
"ME09Feb2013s1D16","A",2013,2,9,69,71,24,1029,1003,229,NA,411,NA
"ME09Feb2013s2D0","A",2013,2,9,126,74,18,1655,930,220,NA,201,NA
"ME09Feb2013s3D0","A",2013,2,9,228,84,26,2349,1002,166,NA,70,NA
"ME09Feb2013s4D0","A",2013,2,9,180,54,9,2103,917,150,NA,154,NA
"ME02Mar2013s1D0","A",2013,3,2,140,63,31,120,98,239,NA,236,NA
"ME02Mar2013s1D8","A",2013,3,2,79,58,28,69,93,222,NA,334,NA
"ME02Mar2013s1D16","A",2013,3,2,94,167,84,72,91,290,NA,544,NA
"ME02Mar2013s1D16","A",2013,3,2,104,160,76,394,98,326,NA,1038,NA
"ME02Mar2013s2D0","A",2013,3,2,193,86,14,241,85,225,NA,63,NA
"ME02Mar2013s3D0","A",2013,3,2,179,100,42,161,79,236,NA,250,NA
"ME02Mar2013s4D0","A",2013,3,2,107,97,47,83,51,242,NA,250,NA
"ME24Mar2013s1D0","A",2013,3,24,108,49,28,118,55,348,NA,358,NA
"ME24Mar2013s1D8","A",2013,3,24,0,75,30,0,50,274,NA,328,NA
"ME24Mar2013s1D16","A",2013,3,24,87,93,68,95,88,557,NA,508,NA
"ME24Mar2013s4D0","A",2013,3,24,40,20,11,54,57,423,NA,333,NA
"ME20Jun2013","A",2013,6,20,45.377,49.388,NA,1181.743,1115.626,474.809,23.404,136.211,NA
"ME20Jun2013","B",2013,6,20,46.183,46.775,NA,1170.851,1113.337,474.164,23.245,135.556,NA
"ME27Jun2013","A",2013,6,27,39.356,40.197,NA,1118.157,1053.561,429.24,24.649,117.997,NA
"ME27Jun2013","B",2013,6,27,40.377,39.967,NA,1185.994,1076.958,430.043,24.684,110.895,NA
"ME03Jul2013","A",2013,7,3,44.262,43.685,NA,1155.385,1041.985,412.52,26.684,117.244,NA
"ME03Jul2013","B",2013,7,3,43.369,41.828,NA,1167.823,1072.927,413.057,26.468,114.892,NA
"ME11Jul2013","A",2013,7,11,50.661,42.71,NA,1067.511,955.841,252.208,30.296,145.074,NA
"ME11Jul2013","B",2013,7,11,53.254,42.161,NA,1125.572,947.096,254.006,30.68,149.135,NA
"ME18Jul2013","A",2013,7,18,35.138,21.32,NA,1015.689,839.999,200.845,28.68,120.539,NA
"ME18Jul2013","B",2013,7,18,34.781,19.25,NA,991.646,880.557,197.71,28.462,119.339,NA
"ME24Jul2013","A",2013,7,24,34.697,25.494,NA,968.479,659.922,166.695,32.657,116.358,NA
"ME24Jul2013","B",2013,7,24,35.942,23.455,NA,999.513,836.531,182.987,35.863,127.849,NA
"ME29Jul2013","A",2013,7,29,43.49,23.099,NA,1012.327,755.607,133.713,32.363,104.322,NA
"ME29Jul2013","B",2013,7,29,44.791,30.08,NA,988.317,749.625,135.575,33.16,102.085,NA
"ME01Aug2013","A",2013,8,1,35.9,18.445,NA,904.537,684.041,96.249,23.511,70.954,NA
"ME01Aug2013","B",2013,8,1,36.868,18.152,NA,885.245,667.554,105.94,26.353,84.266,NA
"ME06Aug2013","A",2013,8,6,39.298,22.791,NA,948.143,753.607,122.799,35.972,119.863,NA
"ME06Aug2013","B",2013,8,6,37.139,17.315,NA,924.86,733.158,121.679,36.273,111.322,NA
"ME09Aug2013","A",2013,8,9,33.253,16.956,NA,913.358,726.427,104.411,33.28,124.395,NA
"ME09Aug2013","B",2013,8,9,33.396,14.657,NA,914.92,717.796,98.605,31.356,116.324,NA
"ME13Aug2013","A",2013,8,13,31.451,11.686,NA,941.268,740.687,93.381,31.845,144.289,NA
"ME13Aug2013","B",2013,8,13,32.249,15.083,NA,959.59,756.421,88.314,29.327,136.524,NA
"ME15Aug2013","A",2013,8,15,37.665,14.053,NA,931.73,727.263,84.875,36.127,135.825,NA
"ME15Aug2013","B",2013,8,15,40.697,11.313,NA,990.639,711.603,84.6,36.171,134.175,NA
"ME23Aug2013","A",2013,8,23,31.251,10.501,NA,860.755,672.26,29.963,17.892,152.253,NA
"ME23Aug2013","B",2013,8,23,41.069,43.56,NA,1084.168,1003.547,30.456,18.012,152.503,NA
"ME30Aug2013","A",2013,8,30,31.383,9.414,NA,933.752,726.109,7.487,3.571,108.762,NA
"ME30Aug2013","B",2013,8,30,25.926,9.764,NA,814.469,585.952,7.793,3.701,105.5,NA
"ME30Aug2013D0","A",2013,8,30,19.357,13.814,NA,742.835,625.361,5.323,0.47,27.554,NA
"ME30Aug2013D10","A",2013,8,30,20.315,12.007,NA,893.199,835.466,10.969,6.575,317.93,NA
"ME30Aug2013D15","A",2013,8,30,242.059,235.409,NA,1588.867,1585.418,2.496,0.223,1094.497,NA
